Feature,Group
log-sigma-1-0-mm-3D_firstorder_10Percentile_liver,29
log-sigma-1-0-mm-3D_firstorder_10Percentile_spleen,31
log-sigma-1-0-mm-3D_firstorder_90Percentile_liver,51
log-sigma-1-0-mm-3D_firstorder_90Percentile_spleen,51
log-sigma-1-0-mm-3D_firstorder_Energy_liver,47
log-sigma-1-0-mm-3D_firstorder_Energy_spleen,45
log-sigma-1-0-mm-3D_firstorder_Entropy_liver,51
log-sigma-1-0-mm-3D_firstorder_Entropy_spleen,48
log-sigma-1-0-mm-3D_firstorder_InterquartileRange_liver,51
log-sigma-1-0-mm-3D_firstorder_InterquartileRange_spleen,51
log-sigma-1-0-mm-3D_firstorder_Kurtosis_liver,20
log-sigma-1-0-mm-3D_firstorder_Kurtosis_spleen,27
log-sigma-1-0-mm-3D_firstorder_Maximum_liver,68
log-sigma-1-0-mm-3D_firstorder_Maximum_spleen,67
log-sigma-1-0-mm-3D_firstorder_MeanAbsoluteDeviation_liver,51
log-sigma-1-0-mm-3D_firstorder_MeanAbsoluteDeviation_spleen,48
log-sigma-1-0-mm-3D_firstorder_Mean_liver,14
log-sigma-1-0-mm-3D_firstorder_Mean_spleen,12
log-sigma-1-0-mm-3D_firstorder_Median_liver,37
log-sigma-1-0-mm-3D_firstorder_Median_spleen,9
log-sigma-1-0-mm-3D_firstorder_Minimum_liver,6
log-sigma-1-0-mm-3D_firstorder_Minimum_spleen,6
log-sigma-1-0-mm-3D_firstorder_Range_liver,80
log-sigma-1-0-mm-3D_firstorder_Range_spleen,79
log-sigma-1-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation_liver,51
log-sigma-1-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation_spleen,48
log-sigma-1-0-mm-3D_firstorder_RootMeanSquared_liver,49
log-sigma-1-0-mm-3D_firstorder_RootMeanSquared_spleen,63
log-sigma-1-0-mm-3D_firstorder_Skewness_liver,41
log-sigma-1-0-mm-3D_firstorder_Skewness_spleen,41
log-sigma-1-0-mm-3D_firstorder_TotalEnergy_liver,47
log-sigma-1-0-mm-3D_firstorder_TotalEnergy_spleen,45
log-sigma-1-0-mm-3D_firstorder_Uniformity_liver,30
log-sigma-1-0-mm-3D_firstorder_Uniformity_spleen,29
log-sigma-1-0-mm-3D_firstorder_Variance_liver,49
log-sigma-1-0-mm-3D_firstorder_Variance_spleen,63
log-sigma-1-0-mm-3D_glcm_Autocorrelation_liver,80
log-sigma-1-0-mm-3D_glcm_Autocorrelation_spleen,79
log-sigma-1-0-mm-3D_glcm_ClusterProminence_liver,64
