feature,importance
wavelet-HHL_firstorder_Mean_liver,0.0094151727200971
log-sigma-3-0-mm-3D_firstorder_Median_liver,0.0057457388646023
wavelet-HLL_firstorder_Median_liver,0.00753000143898
wavelet-HHL_firstorder_Mean_spleen,0.0017158147419551
log-sigma-3-0-mm-3D_glszm_SizeZoneNonUniformityNormalized_spleen,0.0008259470795386
log-sigma-4-0-mm-3D_glcm_Imc2_spleen,0.0012495593806922
original_firstorder_Entropy_spleen,0.0005904815118397
wavelet-HLL_glcm_Imc2_spleen,0.0004950122890103
wavelet-HLH_glcm_Imc2_spleen,0.0015169861566485
original_glszm_SmallAreaLowGrayLevelEmphasis_liver,0.0003509214329083
wavelet-LHL_firstorder_Range_liver,0.0007779433819065
wavelet-HLH_firstorder_Mean_liver,0.0045145158530662
original_glszm_GrayLevelNonUniformityNormalized_spleen,0.0002235295081967
wavelet-LHL_glszm_ZoneEntropy_spleen,0.0003370325500911
log-sigma-1-0-mm-3D_glcm_ClusterProminence_liver,0.0003471615604129
wavelet-LHL_firstorder_Kurtosis_liver,0.0031911892592592
wavelet-HLH_firstorder_Median_liver,0.0027185858469945
wavelet-LLH_gldm_LargeDependenceHighGrayLevelEmphasis_spleen,0.0011268689010322
wavelet-LLL_gldm_GrayLevelNonUniformity_liver,0.0003837371159684
wavelet-LHL_gldm_LargeDependenceLowGrayLevelEmphasis_liver,0.0004767309289617
log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformity_liver,0.0001016751669702
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformity_liver,0.0003236653369763
log-sigma-1-0-mm-3D_glszm_LargeAreaEmphasis_liver,0.0003054050637523
wavelet-HLL_glszm_ZoneEntropy_spleen,0.0004421659562842
wavelet-HHH_glrlm_RunVariance_spleen,0.0005312889617486
log-sigma-1-0-mm-3D_firstorder_Mean_liver,0.0004707367698846
log-sigma-2-0-mm-3D_firstorder_Median_liver,0.0091423688038859
log-sigma-1-0-mm-3D_firstorder_Minimum_spleen,0.001059064675167
wavelet-LLH_firstorder_Variance_liver,0.0003216410018215
log-sigma-1-0-mm-3D_firstorder_Skewness_spleen,0.0005184351669702
log-sigma-2-0-mm-3D_gldm_DependenceNonUniformityNormalized_spleen,0.0009751767030965
wavelet-HLL_glcm_Correlation_spleen,0.0046532754098361
log-sigma-1-0-mm-3D_glcm_InverseVariance_liver,0.0011051568063145
wavelet-LHH_glrlm_LongRunLowGrayLevelEmphasis_spleen,0.0004264186824529
log-sigma-2-0-mm-3D_glcm_ClusterProminence_liver,0.0014341910321797
log-sigma-1-0-mm-3D_firstorder_10Percentile_spleen,0.0002106500425015
log-sigma-1-0-mm-3D_glcm_ClusterProminence_spleen,0.0003745010868245
wavelet-HLH_glcm_Imc2_liver,0.0005852318093503
log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformityNormalized_liver,0.003002727140255
wavelet-LLH_glszm_ZoneEntropy_spleen,0.0023658399453552
log-sigma-2-0-mm-3D_glcm_DifferenceEntropy_liver,0.0012349223740134
log-sigma-2-0-mm-3D_glcm_DifferenceVariance_liver,0.0023806373952641
original_glszm_ZoneEntropy_spleen,0.0031724284031573
log-sigma-2-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis_spleen,0.0009312968548877
log-sigma-4-0-mm-3D_firstorder_Maximum_liver,0.0015384360412872
log-sigma-4-0-mm-3D_glcm_Idn_liver,0.0006521531390407
wavelet-LHH_glszm_LowGrayLevelZoneEmphasis_spleen,0.0034808965573771
log-sigma-4-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis_spleen,0.0012581875591985
log-sigma-5-0-mm-3D_firstorder_Skewness_liver,0.000162537243473
wavelet-LHL_firstorder_Mean_liver,0.0016083260291439
log-sigma-4-0-mm-3D_gldm_DependenceVariance_spleen,0.0075911834851245
wavelet-LLH_glszm_ZonePercentage_liver,0.0011070197814208
wavelet-HHH_gldm_SmallDependenceHighGrayLevelEmphasis_liver,0.0013169941287189
wavelet-LLH_firstorder_Maximum_spleen,0.0021329735579842
wavelet-HHH_glszm_LargeAreaLowGrayLevelEmphasis_liver,0.0005313439708561
wavelet-LLH_glszm_SizeZoneNonUniformityNormalized_liver,0.0002264697449909
wavelet-HHH_gldm_DependenceNonUniformityNormalized_liver,0.0003797856284153
wavelet-LHH_gldm_DependenceVariance_spleen,0.0005865896174863
wavelet-LLH_glcm_DifferenceVariance_spleen,0.0001565385003036
wavelet-LHH_glszm_LargeAreaLowGrayLevelEmphasis_spleen,0.00257267143898
wavelet-LLH_glszm_SizeZoneNonUniformity_spleen,0.000491488955677
wavelet-HHL_glcm_Imc2_spleen,0.0007245359562842
wavelet-HLH_glcm_InverseVariance_liver,0.0014266043594414
wavelet-HHL_firstorder_Median_spleen,0.0047478406496661
log-sigma-2-0-mm-3D_firstorder_Maximum_spleen,0.0014054506071645
wavelet-LHH_gldm_DependenceNonUniformity_spleen,0.0081506251912568
log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformity_spleen,0.0056331178020644
original_shape_SurfaceVolumeRatio_spleen,0.0007640214936248
wavelet-LLL_glcm_Idmn_spleen,0.0007690722465088
wavelet-LLH_firstorder_Median_spleen,0.0011516037462052
log-sigma-4-0-mm-3D_glrlm_HighGrayLevelRunEmphasis_spleen,0.0008315836794171
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformity_spleen,0.0004489329933212
wavelet-LHH_glszm_LargeAreaHighGrayLevelEmphasis_spleen,0.0077487497389193
log-sigma-2-0-mm-3D_glcm_InverseVariance_spleen,8.112376442022118e-05
wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis_spleen,0.0024419083727991
log-sigma-2-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis_spleen,0.0007873801942926
wavelet-HLH_firstorder_Minimum_spleen,0.0006718454826958
log-sigma-5-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis_spleen,0.0008906038676381
log-sigma-3-0-mm-3D_glcm_Imc2_spleen,0.0548673150758956
log-sigma-3-0-mm-3D_firstorder_Maximum_spleen,0.0009348917000607
