Feature,pre,class,feat,organ
original_glcm_Imc1_liver,original,glcm,Imc1,liver
original_gldm_SmallDependenceLowGrayLevelEmphasis_liver,original,gldm,SmallDependenceLowGrayLevelEmphasis,liver
wavelet-LHL_firstorder_Skewness_liver,wavelet-LHL,firstorder,Skewness,liver
wavelet-LHL_gldm_SmallDependenceLowGrayLevelEmphasis_liver,wavelet-LHL,gldm,SmallDependenceLowGrayLevelEmphasis,liver
wavelet-LHH_firstorder_Median_liver,wavelet-LHH,firstorder,Median,liver
wavelet-LHH_gldm_SmallDependenceLowGrayLevelEmphasis_liver,wavelet-LHH,gldm,SmallDependenceLowGrayLevelEmphasis,liver
wavelet-HLL_firstorder_Skewness_liver,wavelet-HLL,firstorder,Skewness,liver
wavelet-HLL_gldm_SmallDependenceLowGrayLevelEmphasis_liver,wavelet-HLL,gldm,SmallDependenceLowGrayLevelEmphasis,liver
wavelet-HLH_firstorder_Median_liver,wavelet-HLH,firstorder,Median,liver
wavelet-HLH_gldm_SmallDependenceLowGrayLevelEmphasis_liver,wavelet-HLH,gldm,SmallDependenceLowGrayLevelEmphasis,liver
wavelet-HHH_firstorder_Mean_liver,wavelet-HHH,firstorder,Mean,liver
wavelet-HHH_firstorder_Skewness_liver,wavelet-HHH,firstorder,Skewness,liver
wavelet-HHH_gldm_SmallDependenceLowGrayLevelEmphasis_liver,wavelet-HHH,gldm,SmallDependenceLowGrayLevelEmphasis,liver
wavelet-LLL_glcm_Imc1_liver,wavelet-LLL,glcm,Imc1,liver
wavelet-LLL_gldm_SmallDependenceLowGrayLevelEmphasis_liver,wavelet-LLL,gldm,SmallDependenceLowGrayLevelEmphasis,liver
original_firstorder_Skewness_spleen,original,firstorder,Skewness,spleen
original_glcm_Imc1_spleen,original,glcm,Imc1,spleen
wavelet-LHL_firstorder_Skewness_spleen,wavelet-LHL,firstorder,Skewness,spleen
wavelet-HLH_firstorder_Median_spleen,wavelet-HLH,firstorder,Median,spleen
wavelet-LLL_firstorder_Skewness_spleen,wavelet-LLL,firstorder,Skewness,spleen
wavelet-LLL_glcm_Imc1_spleen,wavelet-LLL,glcm,Imc1,spleen
original_glszm_GrayLevelNonUniformity_liver,original,glszm,GrayLevelNonUniformity,liver
original_glszm_SizeZoneNonUniformity_liver,original,glszm,SizeZoneNonUniformity,liver
original_gldm_DependenceNonUniformity_liver,original,gldm,DependenceNonUniformity,liver
log-sigma-1-0-mm-3D_glrlm_RunLengthNonUniformity_liver,log-sigma-1-0-mm-3D,glrlm,RunLengthNonUniformity,liver
log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformity_liver,log-sigma-1-0-mm-3D,glszm,GrayLevelNonUniformity,liver
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformity_liver,log-sigma-1-0-mm-3D,glszm,SizeZoneNonUniformity,liver
wavelet-LLH_glrlm_RunLengthNonUniformity_liver,wavelet-LLH,glrlm,RunLengthNonUniformity,liver
wavelet-LHL_firstorder_Energy_liver,wavelet-LHL,firstorder,Energy,liver
